NUMBER	GLOSS	English
Chen-2013-888-1	天	
Chen-2013-888-2	太阳	
Chen-2013-888-3	月亮	
Chen-2013-888-4	星星	
Chen-2013-888-5	云	
Chen-2013-888-6	虹	
Chen-2013-888-7	雷	
Chen-2013-888-8	闪	
Chen-2013-888-9	风	
Chen-2013-888-10	雨	
Chen-2013-888-11	雪	
Chen-2013-888-12	露水	
Chen-2013-888-13	霜	
Chen-2013-888-14	火	
Chen-2013-888-15	灰	
Chen-2013-888-16	烟	
Chen-2013-888-17	扬尘	
Chen-2013-888-18	地	
Chen-2013-888-19	山	
Chen-2013-888-20	洞	
Chen-2013-888-21	河	
Chen-2013-888-22	池塘	
Chen-2013-888-23	沟	
Chen-2013-888-24	井	
Chen-2013-888-25	路	
Chen-2013-888-26	水田	
Chen-2013-888-27	旱地	
Chen-2013-888-28	石头	
Chen-2013-888-29	沙子	
Chen-2013-888-30	泥巴	
Chen-2013-888-31	水	
Chen-2013-888-32	铁	
Chen-2013-888-33	煤	
Chen-2013-888-34	村寨	
Chen-2013-888-35	集市	
Chen-2013-888-36	桥	
Chen-2013-888-37	坟墓	
Chen-2013-888-38	菜园	
Chen-2013-888-39	篱笆	
Chen-2013-888-40	人	
Chen-2013-888-41	汉族	
Chen-2013-888-42	族称	
Chen-2013-888-43	小孩	
Chen-2013-888-44	老头儿	
Chen-2013-888-45	老太太	
Chen-2013-888-46	姑娘	
Chen-2013-888-47	瞎子	
Chen-2013-888-48	跛子	
Chen-2013-888-49	聋子	
Chen-2013-888-50	麻子	
Chen-2013-888-51	哑巴	
Chen-2013-888-52	孤儿	
Chen-2013-888-53	独子	
Chen-2013-888-54	客人	
Chen-2013-888-55	朋友	
Chen-2013-888-56	木匠	
Chen-2013-888-57	贼	
Chen-2013-888-58	名字	
Chen-2013-888-59	年纪	
Chen-2013-888-60	影子	
Chen-2013-888-61	力气	
Chen-2013-888-62	鬼	
Chen-2013-888-63	祖父	
Chen-2013-888-64	祖母	
Chen-2013-888-65	父亲	
Chen-2013-888-66	母亲	
Chen-2013-888-67	儿子	
Chen-2013-888-68	儿媳	
Chen-2013-888-69	女儿	
Chen-2013-888-70	女婿	
Chen-2013-888-71	孙子	
Chen-2013-888-72	哥哥	
Chen-2013-888-73	姐姐	
Chen-2013-888-74	弟弟	
Chen-2013-888-75	妹妹	
Chen-2013-888-76	嫂子	
Chen-2013-888-77	舅父	
Chen-2013-888-78	舅母	
Chen-2013-888-79	丈夫	
Chen-2013-888-80	妻子	
Chen-2013-888-81	身体	
Chen-2013-888-82	头	
Chen-2013-888-83	头发	
Chen-2013-888-84	辫子	
Chen-2013-888-85	眉毛	
Chen-2013-888-86	眼睛	
Chen-2013-888-87	鼻子	
Chen-2013-888-88	耳朵	
Chen-2013-888-89	脸	
Chen-2013-888-90	嘴，口	
Chen-2013-888-91	胡须	
Chen-2013-888-92	下巴	
Chen-2013-888-93	脖子	
Chen-2013-888-94	肩膀	
Chen-2013-888-95	背	
Chen-2013-888-96	胸脯	
Chen-2013-888-97	肚子	
Chen-2013-888-98	肚脐	
Chen-2013-888-99	腰	
Chen-2013-888-100	屁股	
Chen-2013-888-101	肛门	
Chen-2013-888-102	腿	
Chen-2013-888-103	脚	
Chen-2013-888-104	手	
Chen-2013-888-105	手指	
Chen-2013-888-106	指甲	
Chen-2013-888-107	拳	
Chen-2013-888-108	皮肤	
Chen-2013-888-109	筋	
Chen-2013-888-110	脑髓	
Chen-2013-888-111	骨头	
Chen-2013-888-112	牙齿	
Chen-2013-888-113	舌	
Chen-2013-888-114	喉咙	
Chen-2013-888-115	肺	
Chen-2013-888-116	心脏	
Chen-2013-888-117	肝	
Chen-2013-888-118	胃	
Chen-2013-888-119	胆	
Chen-2013-888-120	血	
Chen-2013-888-121	奶汁	
Chen-2013-888-122	屎	
Chen-2013-888-123	肠子	
Chen-2013-888-124	尿	
Chen-2013-888-125	汗	
Chen-2013-888-126	口水	
Chen-2013-888-127	鼻涕	
Chen-2013-888-128	眼泪	
Chen-2013-888-129	脓	
Chen-2013-888-130	牛	
Chen-2013-888-131	水牛	
Chen-2013-888-132	黄牛	
Chen-2013-888-133	母牛	
Chen-2013-888-134	公牛	
Chen-2013-888-135	牛犊	
Chen-2013-888-136	（牛）角	
Chen-2013-888-137	蹄	
Chen-2013-888-138	皮	
Chen-2013-888-139	毛	
Chen-2013-888-140	尾巴	
Chen-2013-888-141	马	
Chen-2013-888-142	羊	
Chen-2013-888-143	猪	
Chen-2013-888-144	狗	
Chen-2013-888-145	猫	
Chen-2013-888-146	兔子	
Chen-2013-888-147	鸡	
Chen-2013-888-148	公鸡	
Chen-2013-888-149	母鸡	
Chen-2013-888-150	鸡冠	
Chen-2013-888-151	爪子	
Chen-2013-888-152	翅膀	
Chen-2013-888-153	鸭子	
Chen-2013-888-154	鹅	
Chen-2013-888-155	鸽子	
Chen-2013-888-156	老虎	
Chen-2013-888-157	猴子	
Chen-2013-888-158	熊	
Chen-2013-888-159	野猪	
Chen-2013-888-160	穿山甲	
Chen-2013-888-161	老鼠	
Chen-2013-888-162	黄鼠狼	
Chen-2013-888-163	狐狸	
Chen-2013-888-164	鸟	
Chen-2013-888-165	鸟窝	
Chen-2013-888-166	老鹰	
Chen-2013-888-167	猫头鹰	
Chen-2013-888-168	燕子	
Chen-2013-888-169	麻雀	
Chen-2013-888-170	乌鸦	
Chen-2013-888-171	野鸡	
Chen-2013-888-172	斑鸠	
Chen-2013-888-173	啄木鸟	
Chen-2013-888-174	蛇	
Chen-2013-888-175	青蛙	
Chen-2013-888-176	鱼	
Chen-2013-888-177	鳞	
Chen-2013-888-178	黄鳝	
Chen-2013-888-179	泥鳅	
Chen-2013-888-180	虾	
Chen-2013-888-181	螃蟹	
Chen-2013-888-182	螺蛳	
Chen-2013-888-183	蚂蟥	
Chen-2013-888-184	虫	
Chen-2013-888-185	臭虫	
Chen-2013-888-186	虱子	
Chen-2013-888-187	苍蝇	
Chen-2013-888-188	蛆	
Chen-2013-888-189	蚊子	
Chen-2013-888-190	蜘蛛	
Chen-2013-888-191	蚯蚓	
Chen-2013-888-192	蛔虫	
Chen-2013-888-193	蚂蚁	
Chen-2013-888-194	蜜蜂	
Chen-2013-888-195	马蜂	
Chen-2013-888-196	马蜂窝	
Chen-2013-888-197	螳螂	
Chen-2013-888-198	蜻蜓	
Chen-2013-888-199	蝴蝶	
Chen-2013-888-200	树	
Chen-2013-888-201	树干	
Chen-2013-888-202	樹枝	
Chen-2013-888-203	树梢	
Chen-2013-888-204	树根	
Chen-2013-888-205	叶子	
Chen-2013-888-206	花	
Chen-2013-888-207	果子	
Chen-2013-888-208	芽	
Chen-2013-888-209	杉树	
Chen-2013-888-210	松树	
Chen-2013-888-211	桃	
Chen-2013-888-212	李子	
Chen-2013-888-213	梨	
Chen-2013-888-214	橘子	
Chen-2013-888-215	柿子	
Chen-2013-888-216	葡萄	
Chen-2013-888-217	竹子	
Chen-2013-888-218	藤子	
Chen-2013-888-219	苎麻	
Chen-2013-888-220	刺	
Chen-2013-888-221	水稻	
Chen-2013-888-222	种子	
Chen-2013-888-223	秧	
Chen-2013-888-224	包谷	
Chen-2013-888-225	高粱	
Chen-2013-888-226	粟	
Chen-2013-888-227	菜	
Chen-2013-888-228	白菜	
Chen-2013-888-229	油菜	
Chen-2013-888-230	韭菜	
Chen-2013-888-231	萝卜	
Chen-2013-888-232	芋头	
Chen-2013-888-233	茄子	
Chen-2013-888-234	辣椒	
Chen-2013-888-235	葱	
Chen-2013-888-236	蒜	
Chen-2013-888-237	姜	
Chen-2013-888-238	红薯	
Chen-2013-888-239	笋	
Chen-2013-888-240	瓜	
Chen-2013-888-241	瓜藤	
Chen-2013-888-242	瓜子	
Chen-2013-888-243	南瓜	
Chen-2013-888-244	西瓜	
Chen-2013-888-245	黄瓜	
Chen-2013-888-246	葫芦	
Chen-2013-888-247	冬瓜	
Chen-2013-888-248	豆	
Chen-2013-888-249	黄豆	
Chen-2013-888-250	豇豆	
Chen-2013-888-251	花生	
Chen-2013-888-252	芝麻	
Chen-2013-888-253	草	
Chen-2013-888-254	茅草	
Chen-2013-888-255	蓝靛苗	
Chen-2013-888-256	蕨菜	
Chen-2013-888-257	蘑菇	
Chen-2013-888-258	木耳	
Chen-2013-888-259	米	
Chen-2013-888-260	糯米	
Chen-2013-888-261	饭	
Chen-2013-888-262	粥	
Chen-2013-888-263	粑粑	
Chen-2013-888-264	面粉	
Chen-2013-888-265	肉	
Chen-2013-888-266	牛肉	
Chen-2013-888-267	羊肉	
Chen-2013-888-268	猪肉	
Chen-2013-888-269	肥肉	
Chen-2013-888-270	瘦肉	
Chen-2013-888-271	猪油	
Chen-2013-888-272	菜油	
Chen-2013-888-273	盐	
Chen-2013-888-274	糖	
Chen-2013-888-275	白糖	
Chen-2013-888-276	红糖	
Chen-2013-888-277	蛋	
Chen-2013-888-278	蛋白	
Chen-2013-888-279	蛋黄	
Chen-2013-888-280	壳儿	
Chen-2013-888-281	豆腐	
Chen-2013-888-282	汤	
Chen-2013-888-283	酒	
Chen-2013-888-284	茶	
Chen-2013-888-285	茶叶	
Chen-2013-888-286	甜酒	
Chen-2013-888-287	开水	
Chen-2013-888-288	药	
Chen-2013-888-289	糠	
Chen-2013-888-290	棉花	
Chen-2013-888-291	纱	
Chen-2013-888-292	布	
Chen-2013-888-293	衣	
Chen-2013-888-294	棉衣	
Chen-2013-888-295	衣领	
Chen-2013-888-296	袖子	
Chen-2013-888-297	扣子	
Chen-2013-888-298	衣袋	
Chen-2013-888-299	裤子	
Chen-2013-888-300	裙子	
Chen-2013-888-301	头巾	
Chen-2013-888-302	帽子	
Chen-2013-888-303	裹腿布	
Chen-2013-888-304	鞋	
Chen-2013-888-305	草鞋	
Chen-2013-888-306	袜子	
Chen-2013-888-307	蓑衣	
Chen-2013-888-308	斗笠	
Chen-2013-888-309	被子	
Chen-2013-888-310	枕头	
Chen-2013-888-311	席子	
Chen-2013-888-312	蚊帐	
Chen-2013-888-313	棉絮	
Chen-2013-888-314	房子	
Chen-2013-888-315	瓦房	
Chen-2013-888-316	草房	
Chen-2013-888-317	厨房	
Chen-2013-888-318	厕所	
Chen-2013-888-319	仓库	
Chen-2013-888-320	牛圈	
Chen-2013-888-321	门	
Chen-2013-888-322	砖	
Chen-2013-888-323	瓦	
Chen-2013-888-324	墙	
Chen-2013-888-325	楼	
Chen-2013-888-326	窗子	
Chen-2013-888-327	木头	
Chen-2013-888-328	木板	
Chen-2013-888-329	柱子	
Chen-2013-888-330	台阶	
Chen-2013-888-331	船	
Chen-2013-888-332	车	
Chen-2013-888-333	马鞍	
Chen-2013-888-334	鞭子	
Chen-2013-888-335	伞	
Chen-2013-888-336	斧子	
Chen-2013-888-337	柴刀	
Chen-2013-888-338	锤子	
Chen-2013-888-339	凿子	
Chen-2013-888-340	锯子	
Chen-2013-888-341	锉子	
Chen-2013-888-342	锥子	
Chen-2013-888-343	刨子	
Chen-2013-888-344	钳子	
Chen-2013-888-345	犁	
Chen-2013-888-346	耙	
Chen-2013-888-347	钉耙	
Chen-2013-888-348	锄头	
Chen-2013-888-349	扁担	
Chen-2013-888-350	绳子	
Chen-2013-888-351	镰刀	
Chen-2013-888-352	麻袋	
Chen-2013-888-353	箩筐	
Chen-2013-888-354	织布机	
Chen-2013-888-355	纺车	
Chen-2013-888-356	弓	
Chen-2013-888-357	箭	
Chen-2013-888-358	锍	
Chen-2013-888-359	火药	
Chen-2013-888-360	风箱	
Chen-2013-888-361	网	
Chen-2013-888-362	囱	
Chen-2013-888-363	石磨	
Chen-2013-888-364	筛子	
Chen-2013-888-365	簸箕	
Chen-2013-888-366	钩子	
Chen-2013-888-367	床	
Chen-2013-888-368	桌子	
Chen-2013-888-369	椅子	
Chen-2013-888-370	凳子	
Chen-2013-888-371	箱子	
Chen-2013-888-372	柜子	
Chen-2013-888-373	架子	
Chen-2013-888-374	扫帚	
Chen-2013-888-375	刷子	
Chen-2013-888-376	柴	
Chen-2013-888-377	灶	
Chen-2013-888-378	锅	
Chen-2013-888-379	甑子	
Chen-2013-888-380	菜刀	
Chen-2013-888-381	碗	
Chen-2013-888-382	筷子	
Chen-2013-888-383	勺子	
Chen-2013-888-384	酒杯	
Chen-2013-888-385	坛子	
Chen-2013-888-386	水缸	
Chen-2013-888-387	水桶	
Chen-2013-888-388	罐子	
Chen-2013-888-389	水瓢	
Chen-2013-888-390	火钳	
Chen-2013-888-391	吹火筒	
Chen-2013-888-392	篮子	
Chen-2013-888-393	背带	
Chen-2013-888-394	扇子	
Chen-2013-888-395	秤	
Chen-2013-888-396	尺子	
Chen-2013-888-397	针	
Chen-2013-888-398	剪刀	
Chen-2013-888-399	梯子	
Chen-2013-888-400	锁	
Chen-2013-888-401	钥匙	
Chen-2013-888-402	灯	
Chen-2013-888-403	灯笼	
Chen-2013-888-404	镜子	
Chen-2013-888-405	耳环	
Chen-2013-888-406	手镯	
Chen-2013-888-407	梳子	
Chen-2013-888-408	棺材	
Chen-2013-888-409	钱	
Chen-2013-888-410	货物	
Chen-2013-888-411	鼓	
Chen-2013-888-412	锣	
Chen-2013-888-413	钟	
Chen-2013-888-414	喇叭	
Chen-2013-888-415	香	
Chen-2013-888-416	蜡烛	
Chen-2013-888-417	话	
Chen-2013-888-418	歌	
Chen-2013-888-419	故事	
Chen-2013-888-420	谜语	
Chen-2013-888-421	笔	
Chen-2013-888-422	书	
Chen-2013-888-423	纸	
Chen-2013-888-424	信	
Chen-2013-888-425	球	
Chen-2013-888-426	旗子	
Chen-2013-888-427	牌	
Chen-2013-888-428	一	
Chen-2013-888-429	二	
Chen-2013-888-430	三	
Chen-2013-888-431	四	
Chen-2013-888-432	五	
Chen-2013-888-433	六	
Chen-2013-888-434	七	
Chen-2013-888-435	八	
Chen-2013-888-436	九	
Chen-2013-888-437	十	
Chen-2013-888-438	十一	
Chen-2013-888-439	十二	
Chen-2013-888-440	十三	
Chen-2013-888-441	十四	
Chen-2013-888-442	十五	
Chen-2013-888-443	十六	
Chen-2013-888-444	十	
Chen-2013-888-445	十七	
Chen-2013-888-446	十	
Chen-2013-888-447	十八	
Chen-2013-888-448	十九	
Chen-2013-888-449	二十	
Chen-2013-888-450	三十	
Chen-2013-888-451	百	
Chen-2013-888-452	位（客）	
Chen-2013-888-453	个（蛋）	
Chen-2013-888-454	只（鸡）	
Chen-2013-888-455	条（河）	
Chen-2013-888-456	棵（树）	
Chen-2013-888-457	根（棍）	
Chen-2013-888-458	块	
Chen-2013-888-459	双	
Chen-2013-888-460	层	
Chen-2013-888-461	件	
Chen-2013-888-462	句	
Chen-2013-888-463	首	
Chen-2013-888-464	斤	
Chen-2013-888-465	两	
Chen-2013-888-466	丈	
Chen-2013-888-467	尺	
Chen-2013-888-468	元	
Chen-2013-888-469	年	
Chen-2013-888-470	月	
Chen-2013-888-471	天	
Chen-2013-888-472	岁	
Chen-2013-888-473	每天	
Chen-2013-888-474	前面	
Chen-2013-888-475	后面	
Chen-2013-888-476	左边	
Chen-2013-888-477	右边	
Chen-2013-888-478	上边	
Chen-2013-888-479	下边	
Chen-2013-888-480	里边	
Chen-2013-888-481	外边	
Chen-2013-888-482	中间	
Chen-2013-888-483	旁边	
Chen-2013-888-484	今天	
Chen-2013-888-485	明天	
Chen-2013-888-486	昨天	
Chen-2013-888-487	后天	
Chen-2013-888-488	上午	
Chen-2013-888-489	中午	
Chen-2013-888-490	下午	
Chen-2013-888-491	早晨	
Chen-2013-888-492	晚上	
Chen-2013-888-493	半夜	
Chen-2013-888-494	初一	
Chen-2013-888-495	初二	
Chen-2013-888-496	初三	
Chen-2013-888-497	正月	
Chen-2013-888-498	二月	
Chen-2013-888-499	三月	
Chen-2013-888-500	四月	
Chen-2013-888-501	五月	
Chen-2013-888-502	六月	
Chen-2013-888-503	七月	
Chen-2013-888-504	八月	
Chen-2013-888-505	九月	
Chen-2013-888-506	十月	
Chen-2013-888-507	十一月	
Chen-2013-888-508	十二月	
Chen-2013-888-509	今年	
Chen-2013-888-510	去年	
Chen-2013-888-511	明年	
Chen-2013-888-512	现在	
Chen-2013-888-513	将来	
Chen-2013-888-514	从前	
Chen-2013-888-515	我	
Chen-2013-888-516	我们	
Chen-2013-888-517	你	
Chen-2013-888-518	你们	
Chen-2013-888-519	他	
Chen-2013-888-520	他们	
Chen-2013-888-521	大家	
Chen-2013-888-522	自己	
Chen-2013-888-523	别人	
Chen-2013-888-524	这	
Chen-2013-888-525	那	
Chen-2013-888-526	什么	
Chen-2013-888-527	哪个	
Chen-2013-888-528	哪里	
Chen-2013-888-529	大	
Chen-2013-888-530	小	
Chen-2013-888-531	高	
Chen-2013-888-532	矮、低	
Chen-2013-888-533	长	
Chen-2013-888-534	短	
Chen-2013-888-535	远	
Chen-2013-888-536	近	
Chen-2013-888-537	宽	
Chen-2013-888-538	窄	
Chen-2013-888-539	厚	
Chen-2013-888-540	薄	
Chen-2013-888-541	深	
Chen-2013-888-542	浅	
Chen-2013-888-543	满	
Chen-2013-888-544	空	
Chen-2013-888-545	多	
Chen-2013-888-546	少	
Chen-2013-888-547	方	
Chen-2013-888-548	圆	
Chen-2013-888-549	扁	
Chen-2013-888-550	尖	
Chen-2013-888-551	平	
Chen-2013-888-552	直	
Chen-2013-888-553	横	
Chen-2013-888-554	弯	
Chen-2013-888-555	黑	
Chen-2013-888-556	白	
Chen-2013-888-557	红	
Chen-2013-888-558	黄	
Chen-2013-888-559	绿	
Chen-2013-888-560	蓝	
Chen-2013-888-561	亮	
Chen-2013-888-562	暗	
Chen-2013-888-563	重	
Chen-2013-888-564	轻	
Chen-2013-888-565	快	
Chen-2013-888-566	慢	
Chen-2013-888-567	早	
Chen-2013-888-568	迟	
Chen-2013-888-569	锋利	
Chen-2013-888-570	清	
Chen-2013-888-571	稀（疏）	
Chen-2013-888-572	蜜（稠）	
Chen-2013-888-573	浓	
Chen-2013-888-574	稠（浊）	
Chen-2013-888-575	淡	
Chen-2013-888-576	胖	
Chen-2013-888-577	痩	
Chen-2013-888-578	干枯	
Chen-2013-888-579	湿	
Chen-2013-888-580	硬	
Chen-2013-888-581	软	
Chen-2013-888-582	活	
Chen-2013-888-583	死	
Chen-2013-888-584	光	
Chen-2013-888-585	松	
Chen-2013-888-586	紧	
Chen-2013-888-587	齐	
Chen-2013-888-588	对	
Chen-2013-888-589	错	
Chen-2013-888-590	真	
Chen-2013-888-591	假	
Chen-2013-888-592	生	
Chen-2013-888-593	熟	
Chen-2013-888-594	新	
Chen-2013-888-595	旧	
Chen-2013-888-596	好	
Chen-2013-888-597	坏	
Chen-2013-888-598	贵	
Chen-2013-888-599	贱	
Chen-2013-888-600	老	
Chen-2013-888-601	嫩	
Chen-2013-888-602	美	
Chen-2013-888-603	丑	
Chen-2013-888-604	热	
Chen-2013-888-605	冷	
Chen-2013-888-606	难	
Chen-2013-888-607	容易	
Chen-2013-888-608	香	
Chen-2013-888-609	臭	
Chen-2013-888-610	酸	
Chen-2013-888-611	甜	
Chen-2013-888-612	苦	
Chen-2013-888-613	辣	
Chen-2013-888-614	咸	
Chen-2013-888-615	醒	
Chen-2013-888-616	忙	
Chen-2013-888-617	富	
Chen-2013-888-618	穷	
Chen-2013-888-619	干净	
Chen-2013-888-620	脏	
Chen-2013-888-621	饱	
Chen-2013-888-622	饿	
Chen-2013-888-623	渴	
Chen-2013-888-624	困	
Chen-2013-888-625	累	
Chen-2013-888-626	急	
Chen-2013-888-627	聪明	
Chen-2013-888-628	傻	
Chen-2013-888-629	勤快	
Chen-2013-888-630	懒	
Chen-2013-888-631	凶	
Chen-2013-888-632	响	
Chen-2013-888-633	熬	
Chen-2013-888-634	拔	
Chen-2013-888-635	搻	
Chen-2013-888-636	搬	
Chen-2013-888-637	帮助	
Chen-2013-888-638	捆绑	
Chen-2013-888-639	剥	
Chen-2013-888-640	抱	
Chen-2013-888-641	背	
Chen-2013-888-642	比	
Chen-2013-888-643	编（辫子）	
Chen-2013-888-644	编（篮子）	
Chen-2013-888-645	变	
Chen-2013-888-646	病	
Chen-2013-888-647	补	
Chen-2013-888-648	猜	
Chen-2013-888-649	踩	
Chen-2013-888-650	藏	
Chen-2013-888-651	插	
Chen-2013-888-652	折	
Chen-2013-888-653	缠	
Chen-2013-888-654	唱	
Chen-2013-888-655	炒	
Chen-2013-888-656	沉	
Chen-2013-888-657	称	
Chen-2013-888-658	成	
Chen-2013-888-659	吃	
Chen-2013-888-660	舂	
Chen-2013-888-661	出	
Chen-2013-888-662	锄（革）	
Chen-2013-888-663	穿（衣）	
Chen-2013-888-664	穿（鞋）	
Chen-2013-888-665	吹（喇叭）	
Chen-2013-888-666	搓	
Chen-2013-888-667	答应	
Chen-2013-888-668	打鸣	
Chen-2013-888-669	打（人）	
Chen-2013-888-670	打（枪）	
Chen-2013-888-671	戴（帽）	
Chen-2013-888-672	戴（手镯）	
Chen-2013-888-673	倒（下）	
Chen-2013-888-674	到	
Chen-2013-888-675	倒（水）	
Chen-2013-888-676	得到	
Chen-2013-888-677	等	
Chen-2013-888-678	掉	
Chen-2013-888-679	吊	
Chen-2013-888-680	跌倒	
Chen-2013-888-681	动	
Chen-2013-888-682	堵塞	
Chen-2013-888-683	（线）断	
Chen-2013-888-684	（扁担）断	
Chen-2013-888-685	躲避	
Chen-2013-888-686	剁	
Chen-2013-888-687	翻	
Chen-2013-888-688	发烧	
Chen-2013-888-689	纺	
Chen-2013-888-690	放（牛）	
Chen-2013-888-691	飞	
Chen-2013-888-692	分	
Chen-2013-888-693	缝	
Chen-2013-888-694	孵	
Chen-2013-888-695	扶	
Chen-2013-888-696	浮	
Chen-2013-888-697	（应）该	
Chen-2013-888-698	改	
Chen-2013-888-699	盖（被）	
Chen-2013-888-700	盖（锅）	
Chen-2013-888-701	赶走	
Chen-2013-888-702	敢	
Chen-2013-888-703	告诉	
Chen-2013-888-704	割（草）	
Chen-2013-888-705	给	
Chen-2013-888-706	耕	
Chen-2013-888-707	（猪）拱（土）	
Chen-2013-888-708	刮	
Chen-2013-888-709	挂	
Chen-2013-888-710	关（门）	
Chen-2013-888-711	滚	
Chen-2013-888-712	过（桥）	
Chen-2013-888-713	害羞	
Chen-2013-888-714	喝	
Chen-2013-888-715	哼	
Chen-2013-888-716	划	
Chen-2013-888-717	化	
Chen-2013-888-718	怀孕	
Chen-2013-888-719	还帐	
Chen-2013-888-720	换	
Chen-2013-888-721	回来	
Chen-2013-888-722	会（写）	
Chen-2013-888-723	挤	
Chen-2013-888-724	记得	
Chen-2013-888-725	夹	
Chen-2013-888-726	捡	
Chen-2013-888-727	剪	
Chen-2013-888-728	浇	
Chen-2013-888-729	吠	
Chen-2013-888-730	结（果）	
Chen-2013-888-731	连接	
Chen-2013-888-732	解开	
Chen-2013-888-733	借（钱）	
Chen-2013-888-734	进（屋）	
Chen-2013-888-735	救	
Chen-2013-888-736	锯	
Chen-2013-888-737	开（门）	
Chen-2013-888-738	（水）开	
Chen-2013-888-739	（花）开	
Chen-2013-888-740	砍（树）	
Chen-2013-888-741	砍（骨头）	
Chen-2013-888-742	看	
Chen-2013-888-743	看见	
Chen-2013-888-744	扛	
Chen-2013-888-745	烤（火）	
Chen-2013-888-746	咳嗽	
Chen-2013-888-747	啃	
Chen-2013-888-748	哭	
Chen-2013-888-749	拉屎	
Chen-2013-888-750	来	
Chen-2013-888-751	烂	
Chen-2013-888-752	破裂	
Chen-2013-888-753	流	
Chen-2013-888-754	留	
Chen-2013-888-755	漏	
Chen-2013-888-756	落	
Chen-2013-888-757	骂	
Chen-2013-888-758	埋	
Chen-2013-888-759	买	
Chen-2013-888-760	卖	
Chen-2013-888-761	没有	
Chen-2013-888-762	（火）灭	
Chen-2013-888-763	摸	
Chen-2013-888-764	磨（刀）	
Chen-2013-888-765	磨（面）	
Chen-2013-888-766	拿	
Chen-2013-888-767	念	
Chen-2013-888-768	呕吐	
Chen-2013-888-769	爬行	
Chen-2013-888-770	爬（树）	
Chen-2013-888-771	怕	
Chen-2013-888-772	拍	
Chen-2013-888-773	跑	
Chen-2013-888-774	泡	
Chen-2013-888-775	赔	
Chen-2013-888-776	喷	
Chen-2013-888-777	劈	
Chen-2013-888-778	（衣）破	
Chen-2013-888-779	骑	
Chen-2013-888-780	起来	
Chen-2013-888-781	牵	
Chen-2013-888-782	欠	
Chen-2013-888-783	抢	
Chen-2013-888-784	敲	
Chen-2013-888-785	请	
Chen-2013-888-786	去	
Chen-2013-888-787	缺	
Chen-2013-888-788	燃	
Chen-2013-888-789	认识	
Chen-2013-888-790	融化	
Chen-2013-888-791	撒尿	
Chen-2013-888-792	扫	
Chen-2013-888-793	杀（人）	
Chen-2013-888-794	筛	
Chen-2013-888-795	晒	
Chen-2013-888-796	上（楼）	
Chen-2013-888-797	烧（山）	
Chen-2013-888-798	射	
Chen-2013-888-799	生（小孩）	
Chen-2013-888-800	是	
Chen-2013-888-801	不是	
Chen-2013-888-802	收（玉米）	
Chen-2013-888-803	守（庄稼）	
Chen-2013-888-804	梳	
Chen-2013-888-805	输	
Chen-2013-888-806	数（钱）	
Chen-2013-888-807	拴（牛）	
Chen-2013-888-808	睡觉	
Chen-2013-888-809	说	
Chen-2013-888-810	送（客）	
Chen-2013-888-811	赠送	
Chen-2013-888-812	缩	
Chen-2013-888-813	抬	
Chen-2013-888-814	逃跑	
Chen-2013-888-815	乞讨	
Chen-2013-888-816	疼	
Chen-2013-888-817	提	
Chen-2013-888-818	填	
Chen-2013-888-819	挑（水）	
Chen-2013-888-820	跳	
Chen-2013-888-821	听	
Chen-2013-888-822	听见	
Chen-2013-888-823	偷	
Chen-2013-888-824	吐（痰）	
Chen-2013-888-825	推	
Chen-2013-888-826	退	
Chen-2013-888-827	拖	
Chen-2013-888-828	脱（衣）	
Chen-2013-888-829	脱（皮）	
Chen-2013-888-830	挖	
Chen-2013-888-831	忘记	
Chen-2013-888-832	喂（猪）	
Chen-2013-888-833	嗅	
Chen-2013-888-834	问	
Chen-2013-888-835	吸气	
Chen-2013-888-836	洗（碗）	
Chen-2013-888-837	洗（衣）	
Chen-2013-888-838	下（楼）	
Chen-2013-888-839	下（雨）	
Chen-2013-888-840	下（小猪）	
Chen-2013-888-841	想	
Chen-2013-888-842	削	
Chen-2013-888-843	笑	
Chen-2013-888-844	醒	
Chen-2013-888-845	选	
Chen-2013-888-846	寻找	
Chen-2013-888-847	压	
Chen-2013-888-848	痒	
Chen-2013-888-849	摇	
Chen-2013-888-850	咬	
Chen-2013-888-851	要	
Chen-2013-888-852	移动	
Chen-2013-888-853	游	
Chen-2013-888-854	有	
Chen-2013-888-855	没有	
Chen-2013-888-856	栽	
Chen-2013-888-857	炸	
Chen-2013-888-858	站	
Chen-2013-888-859	长（大）	
Chen-2013-888-860	胀	
Chen-2013-888-861	找	
Chen-2013-888-862	照	
Chen-2013-888-863	折断	
Chen-2013-888-864	争	
Chen-2013-888-865	蒸	
Chen-2013-888-866	知道	
Chen-2013-888-867	织（布）	
Chen-2013-888-868	指	
Chen-2013-888-869	肿	
Chen-2013-888-870	种（菜）	
Chen-2013-888-871	煮	
Chen-2013-888-872	住	
Chen-2013-888-873	抓	
Chen-2013-888-874	转（身）	
Chen-2013-888-875	转动	
Chen-2013-888-876	装	
Chen-2013-888-877	追	
Chen-2013-888-878	捉	
Chen-2013-888-879	啄	
Chen-2013-888-880	走	
Chen-2013-888-881	醉	
Chen-2013-888-882	坐	
Chen-2013-888-883	做	
Chen-2013-888-884	不	
Chen-2013-888-885	都	
Chen-2013-888-886	也	
Chen-2013-888-887	很	
Chen-2013-888-888	和	
Chen-2013-888-889	的	
Chen-2013-888-890	极	
